,video,0-1_chin0X,0-1_chin0Y,0-1_left_eyebrow0X,0-1_left_eyebrow0Y,0-1_left_eyebrow1X,0-1_left_eyebrow1Y,0-1_right_eyebrow0X,0-1_right_eyebrow0Y,0-1_right_eyebrow1X,0-1_right_eyebrow1Y,0-1_nose_bridge0X,0-1_nose_bridge0Y,0-1_nose_tip0X,0-1_nose_tip0Y,0-1_left_eye0X,0-1_left_eye0Y,0-1_right_eye0X,0-1_right_eye0Y,0-1_top_lip0X,0-1_top_lip0Y,0-1_top_lip1X,0-1_top_lip1Y,0-1_bottom_lip0X,0-1_bottom_lip0Y,0-1_bottom_lip1X,0-1_bottom_lip1Y,1-2_chin0X,1-2_chin0Y,1-2_left_eyebrow0X,1-2_left_eyebrow0Y,1-2_left_eyebrow1X,1-2_left_eyebrow1Y,1-2_right_eyebrow0X,1-2_right_eyebrow0Y,1-2_right_eyebrow1X,1-2_right_eyebrow1Y,1-2_nose_bridge0X,1-2_nose_bridge0Y,1-2_nose_tip0X,1-2_nose_tip0Y,1-2_left_eye0X,1-2_left_eye0Y,1-2_right_eye0X,1-2_right_eye0Y,1-2_top_lip0X,1-2_top_lip0Y,1-2_top_lip1X,1-2_top_lip1Y,1-2_bottom_lip0X,1-2_bottom_lip0Y,1-2_bottom_lip1X,1-2_bottom_lip1Y,2-3_chin0X,2-3_chin0Y,2-3_left_eyebrow0X,2-3_left_eyebrow0Y,2-3_left_eyebrow1X,2-3_left_eyebrow1Y,2-3_right_eyebrow0X,2-3_right_eyebrow0Y,2-3_right_eyebrow1X,2-3_right_eyebrow1Y,2-3_nose_bridge0X,2-3_nose_bridge0Y,2-3_nose_tip0X,2-3_nose_tip0Y,2-3_left_eye0X,2-3_left_eye0Y,2-3_right_eye0X,2-3_right_eye0Y,2-3_top_lip0X,2-3_top_lip0Y,2-3_top_lip1X,2-3_top_lip1Y,2-3_bottom_lip0X,2-3_bottom_lip0Y,2-3_bottom_lip1X,2-3_bottom_lip1Y,3-4_chin0X,3-4_chin0Y,3-4_left_eyebrow0X,3-4_left_eyebrow0Y,3-4_left_eyebrow1X,3-4_left_eyebrow1Y,3-4_right_eyebrow0X,3-4_right_eyebrow0Y,3-4_right_eyebrow1X,3-4_right_eyebrow1Y,3-4_nose_bridge0X,3-4_nose_bridge0Y,3-4_nose_tip0X,3-4_nose_tip0Y,3-4_left_eye0X,3-4_left_eye0Y,3-4_right_eye0X,3-4_right_eye0Y,3-4_top_lip0X,3-4_top_lip0Y,3-4_top_lip1X,3-4_top_lip1Y,3-4_bottom_lip0X,3-4_bottom_lip0Y,3-4_bottom_lip1X,3-4_bottom_lip1Y,4-5_chin0X,4-5_chin0Y,4-5_left_eyebrow0X,4-5_left_eyebrow0Y,4-5_left_eyebrow1X,4-5_left_eyebrow1Y,4-5_right_eyebrow0X,4-5_right_eyebrow0Y,4-5_right_eyebrow1X,4-5_right_eyebrow1Y,4-5_nose_bridge0X,4-5_nose_bridge0Y,4-5_nose_tip0X,4-5_nose_tip0Y,4-5_left_eye0X,4-5_left_eye0Y,4-5_right_eye0X,4-5_right_eye0Y,4-5_top_lip0X,4-5_top_lip0Y,4-5_top_lip1X,4-5_top_lip1Y,4-5_bottom_lip0X,4-5_bottom_lip0Y,4-5_bottom_lip1X,4-5_bottom_lip1Y,5-6_chin0X,5-6_chin0Y,5-6_left_eyebrow0X,5-6_left_eyebrow0Y,5-6_left_eyebrow1X,5-6_left_eyebrow1Y,5-6_right_eyebrow0X,5-6_right_eyebrow0Y,5-6_right_eyebrow1X,5-6_right_eyebrow1Y,5-6_nose_bridge0X,5-6_nose_bridge0Y,5-6_nose_tip0X,5-6_nose_tip0Y,5-6_left_eye0X,5-6_left_eye0Y,5-6_right_eye0X,5-6_right_eye0Y,5-6_top_lip0X,5-6_top_lip0Y,5-6_top_lip1X,5-6_top_lip1Y,5-6_bottom_lip0X,5-6_bottom_lip0Y,5-6_bottom_lip1X,5-6_bottom_lip1Y,6-7_chin0X,6-7_chin0Y,6-7_left_eyebrow0X,6-7_left_eyebrow0Y,6-7_left_eyebrow1X,6-7_left_eyebrow1Y,6-7_right_eyebrow0X,6-7_right_eyebrow0Y,6-7_right_eyebrow1X,6-7_right_eyebrow1Y,6-7_nose_bridge0X,6-7_nose_bridge0Y,6-7_nose_tip0X,6-7_nose_tip0Y,6-7_left_eye0X,6-7_left_eye0Y,6-7_right_eye0X,6-7_right_eye0Y,6-7_top_lip0X,6-7_top_lip0Y,6-7_top_lip1X,6-7_top_lip1Y,6-7_bottom_lip0X,6-7_bottom_lip0Y,6-7_bottom_lip1X,6-7_bottom_lip1Y,7-8_chin0X,7-8_chin0Y,7-8_left_eyebrow0X,7-8_left_eyebrow0Y,7-8_left_eyebrow1X,7-8_left_eyebrow1Y,7-8_right_eyebrow0X,7-8_right_eyebrow0Y,7-8_right_eyebrow1X,7-8_right_eyebrow1Y,7-8_nose_bridge0X,7-8_nose_bridge0Y,7-8_nose_tip0X,7-8_nose_tip0Y,7-8_left_eye0X,7-8_left_eye0Y,7-8_right_eye0X,7-8_right_eye0Y,7-8_top_lip0X,7-8_top_lip0Y,7-8_top_lip1X,7-8_top_lip1Y,7-8_bottom_lip0X,7-8_bottom_lip0Y,7-8_bottom_lip1X,7-8_bottom_lip1Y,8-9_chin0X,8-9_chin0Y,8-9_left_eyebrow0X,8-9_left_eyebrow0Y,8-9_left_eyebrow1X,8-9_left_eyebrow1Y,8-9_right_eyebrow0X,8-9_right_eyebrow0Y,8-9_right_eyebrow1X,8-9_right_eyebrow1Y,8-9_nose_bridge0X,8-9_nose_bridge0Y,8-9_nose_tip0X,8-9_nose_tip0Y,8-9_left_eye0X,8-9_left_eye0Y,8-9_right_eye0X,8-9_right_eye0Y,8-9_top_lip0X,8-9_top_lip0Y,8-9_top_lip1X,8-9_top_lip1Y,8-9_bottom_lip0X,8-9_bottom_lip0Y,8-9_bottom_lip1X,8-9_bottom_lip1Y,9-10_chin0X,9-10_chin0Y,9-10_left_eyebrow0X,9-10_left_eyebrow0Y,9-10_left_eyebrow1X,9-10_left_eyebrow1Y,9-10_right_eyebrow0X,9-10_right_eyebrow0Y,9-10_right_eyebrow1X,9-10_right_eyebrow1Y,9-10_nose_bridge0X,9-10_nose_bridge0Y,9-10_nose_tip0X,9-10_nose_tip0Y,9-10_left_eye0X,9-10_left_eye0Y,9-10_right_eye0X,9-10_right_eye0Y,9-10_top_lip0X,9-10_top_lip0Y,9-10_top_lip1X,9-10_top_lip1Y,9-10_bottom_lip0X,9-10_bottom_lip0Y,9-10_bottom_lip1X,9-10_bottom_lip1Y,10-11_chin0X,10-11_chin0Y,10-11_left_eyebrow0X,10-11_left_eyebrow0Y,10-11_left_eyebrow1X,10-11_left_eyebrow1Y,10-11_right_eyebrow0X,10-11_right_eyebrow0Y,10-11_right_eyebrow1X,10-11_right_eyebrow1Y,10-11_nose_bridge0X,10-11_nose_bridge0Y,10-11_nose_tip0X,10-11_nose_tip0Y,10-11_left_eye0X,10-11_left_eye0Y,10-11_right_eye0X,10-11_right_eye0Y,10-11_top_lip0X,10-11_top_lip0Y,10-11_top_lip1X,10-11_top_lip1Y,10-11_bottom_lip0X,10-11_bottom_lip0Y,10-11_bottom_lip1X,10-11_bottom_lip1Y
140,test141,-1,0,0,-2,-1,0,1,0,0,1,0,0,-1,-1,-1,-1,0,0,-1,-1,-2,-1,0,-1,0,-1,0,1,-1,2,2,0,-1,-1,3,1,1,-1,1,1,0,0,1,-1,0,1,0,0,2,0,2,1,-3,-12,-1,-2,-8,-3,0,-2,-4,-2,-4,0,-4,1,-3,-1,-4,0,-6,-5,-7,-4,-4,-5,-2,-6,3,4,2,-2,2,0,2,-1,0,-4,2,-1,3,-2,2,0,1,0,6,3,7,3,1,3,-1,3,2,-3,1,1,3,4,1,3,3,4,2,3,1,3,2,2,2,2,-3,-2,-4,-2,6,-1,6,-1,-1,5,-5,0,-1,-3,-2,-4,4,-2,-1,-3,-1,-1,-4,-3,1,-3,1,3,2,2,-1,3,0,2,1,-2,2,3,2,2,1,3,-3,1,1,2,1,-1,3,1,-1,2,2,-1,2,0,-2,-1,-2,1,-6,-2,1,-4,3,1,0,3,1,2,2,1,0,1,-2,-2,1,0,-5,-4,-5,-3,3,-3,2,-3,4,6,0,4,-2,-1,-1,-2,0,2,-3,0,-1,-1,2,3,-1,1,3,6,3,4,-4,6,-3,5,-2.0,9.0,0.0,-3.0,1.0,-3.0,0.0,-2.0,-2.0,-1.0,1.0,-2.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,4.0,5.0,5.0,6.0,-3.0,7.0,-4.0,7.0,0.0,-2.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,-2.0,0.0,-1.0,2.0,-1.0,1.0,-1.0,-1.0,-2.0,-1.0,-2.0,3.0,-3.0,2.0,-2.0
141,test142,-1,4,-1,0,0,1,0,1,2,0,0,2,0,3,-2,2,1,1,-1,3,-1,3,3,3,3,3,1,-2,0,1,1,0,1,0,0,1,1,-1,1,-1,2,-1,0,0,1,-1,0,-1,-1,-2,-1,-2,-2,-5,4,-2,-3,-7,4,-6,-6,1,0,0,-1,0,1,2,-4,2,2,-1,2,-1,-4,0,-4,-1,-2,-9,0,-2,-1,-1,1,-1,-2,-1,-1,-1,-1,-4,0,-3,-2,-1,4,-3,2,-5,-9,-2,-8,-3,0,8,-3,0,-2,3,-3,2,2,-1,-1,3,-1,5,-2,2,1,1,-3,3,-1,5,4,3,3,5,2,-6,0,-1,-1,0,0,0,2,-2,-1,-2,0,-3,0,-2,-1,-1,-2,-1,-2,-2,1,-1,2,-2,-1,-22,-3,-2,1,0,4,0,2,-4,2,-2,1,-2,-2,-2,3,-2,0,-10,0,-10,1,-11,0,-11,4,23,2,4,3,6,-1,4,0,4,1,3,3,0,4,1,1,0,4,8,2,8,2,8,4,7,-3,10,-3,0,-2,0,-5,-1,0,-2,-2,-1,-2,0,-3,0,-2,-1,-2,3,0,4,2,3,0,4,2.0,-4.0,5.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,-1.0,3.0,2.0,2.0,0.0,0.0,-2.0,0.0,-2.0,1.0,-3.0,1.0,-2.0,0.0,4.0,-1.0,4.0,0.0,0.0,-3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,-1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,-1.0,3.0,0.0,2.0
142,test143,-1,2,-4,1,-4,-4,-2,-2,-3,0,-3,0,-2,1,-4,2,-3,1,-6,0,-7,0,2,0,2,1,2,-2,0,-4,0,-4,5,-3,2,-3,2,-3,3,-2,0,-4,2,-3,2,-3,2,-2,3,-3,4,-2,1,-13,5,0,-1,-5,3,-5,-3,1,1,1,0,0,3,2,-1,2,1,-3,1,-4,-1,-3,-1,-5,-2,4,2,2,1,4,3,5,-5,3,1,3,0,-1,2,2,-1,2,7,5,6,4,-8,6,-8,5,0,-2,1,-5,-3,-1,-1,-3,1,-8,-2,-3,-1,-5,2,-3,-1,-3,-2,-5,-1,-3,5,-4,4,-2,4,6,-3,3,4,1,-4,0,6,4,1,1,2,5,-3,2,2,1,4,7,4,5,-2,5,-2,3,-2,2,3,2,-1,0,4,1,-3,1,1,1,0,1,2,1,0,1,-1,1,-2,1,1,0,2,1,-6,-3,-2,-1,-3,-5,-2,-4,-2,0,-3,-2,-4,-3,-3,-2,-2,-2,1,-1,2,-3,-11,1,-12,-1,6,1,0,4,4,6,-2,3,1,2,2,1,3,1,1,3,0,2,1,-1,1,0,5,-2,6,-1,1.0,-8.0,-2.0,-4.0,-4.0,-6.0,4.0,-4.0,4.0,-4.0,0.0,-4.0,1.0,-3.0,-2.0,-3.0,2.0,-4.0,-3.0,-3.0,-4.0,-3.0,7.0,-6.0,7.0,-5.0,3.0,11.0,6.0,5.0,5.0,6.0,-3.0,6.0,-2.0,3.0,1.0,3.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0
143,test144,-2,-4,4,-1,1,0,1,1,0,1,1,1,1,-2,2,0,1,1,0,-3,0,-2,0,-1,0,-1,-3,1,0,2,-1,3,-1,1,-2,1,0,1,-2,1,-2,1,-2,1,-2,1,-2,1,-2,1,-1,1,2,-3,-3,-3,-1,-3,-1,-2,2,-1,-1,-1,-1,1,-2,-1,1,-1,-2,-1,-2,-2,0,-1,0,-1,3,-7,1,3,4,7,0,7,1,0,1,3,3,0,2,1,1,1,-2,-4,-3,-3,9,-4,9,-3,-3,3,-6,-2,-4,-4,-2,-3,0,0,-2,-2,-3,3,-5,-1,-2,-1,4,7,5,5,-11,7,-11,5,1,-9,4,1,0,0,-1,0,-5,0,-1,0,0,-3,3,-1,-2,-1,-1,-5,-2,-5,1,-7,1,-7,1,7,2,-2,2,1,4,1,2,0,4,0,2,1,1,0,2,1,-3,0,-3,1,4,3,4,5,-6,-1,-1,0,-1,-2,-3,-2,1,-1,-3,-1,-2,-2,0,0,-1,-1,7,3,8,3,-9,2,-9,1,5,9,0,-1,-2,-1,1,-2,-3,-4,0,0,1,0,0,0,0,-1,-1,2,-1,1,5,0,4,0,-3.0,-1.0,1.0,4.0,2.0,0.0,0.0,0.0,-1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,-1.0,2.0,1.0,2.0,1.0,2.0,-4.0,2.0,-3.0,1.0,1.0,-5.0,3.0,-1.0,1.0,2.0,2.0,1.0,0.0,-1.0,2.0,1.0,1.0,-1.0,2.0,0.0,1.0,0.0,2.0,-3.0,2.0,-2.0,1.0,-2.0,0.0,-1.0
144,test145,2,0,2,1,2,0,1,0,0,0,2,1,2,0,2,0,1,1,2,0,2,0,-1,0,0,0,0,0,1,-1,-1,0,-1,1,0,0,0,-1,0,-1,0,-1,0,-1,1,-1,0,-2,1,-2,0,-2,1,-1,0,0,0,-6,9,-7,1,-2,3,-1,3,3,2,0,1,1,-2,-4,-2,-3,2,-3,3,-3,-4,0,0,-2,-2,-2,0,-2,-2,-1,-2,1,-2,1,-2,1,-2,1,-1,3,-1,3,-5,1,-5,2,2,-5,1,-2,3,-1,1,-2,2,-1,2,-3,0,0,2,-2,1,-2,1,-7,2,-7,4,-7,4,-7,-1,3,0,-1,0,-1,-2,0,0,-1,-1,1,-1,-2,-1,0,1,0,1,8,0,7,-2,10,-1,9,-2,0,-3,1,-4,-1,0,-1,0,1,-1,-1,-2,1,-2,0,-1,0,1,0,1,0,-4,0,-5,-1,7,-1,4,6,3,3,-1,2,-3,-1,0,3,3,2,4,4,-2,1,3,-2,3,-3,2,-5,2,-5,-4,2,-3,-4,-2,2,2,3,2,4,0,0,-1,-3,-2,-2,1,1,-2,0,-3,1,-1,5,-1,5,2.0,1.0,3.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-2.0,1.0,-2.0,1.0,-2.0,3.0,-2.0,5.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,-4.0,0.0,1.0,-1.0,1.0,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-1.0,-2.0,-2.0,1.0,0.0,-3.0,-1.0,-2.0,-1.0,-2.0,-1.0,-5.0,1.0,-5.0,1.0
145,test146,0,1,1,0,-1,0,-2,-1,-3,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-2,0,-2,-1,-1,-1,-1,-1,0,-1,2,2,1,-1,2,1,2,1,2,1,2,-1,1,1,2,0,3,-1,2,1,1,1,2,2,0,0,-2,-1,0,3,-2,1,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,1,2,-1,1,-2,0,-1,1,-1,1,-3,2,-1,2,-3,1,-3,2,-8,1,-8,1,-8,2,-8,-2,-1,1,-1,-1,-2,-3,-1,-2,0,-2,1,-2,-3,1,0,-2,-1,9,11,10,9,-14,9,-14,7,1,1,-2,0,0,0,2,-2,4,-2,0,-1,-1,2,-1,0,1,-1,-3,-1,-3,-1,5,-2,4,-1,6,-1,3,2,1,3,2,3,3,0,2,4,3,4,1,4,4,4,-5,0,-6,1,15,-2,15,-1,-2,0,-2,1,1,-1,-2,-2,-1,-1,-1,-2,0,-2,0,-3,-2,-4,5,-1,5,-1,-10,-1,-9,-1,0,0,2,-2,-1,1,0,3,-5,1,1,1,-1,0,0,0,-1,3,-3,0,-3,0,1,3,0,4,-4.0,0.0,-2.0,1.0,-3.0,-1.0,-1.0,-1.0,-2.0,1.0,-3.0,0.0,-2.0,0.0,-1.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,2.0,-1.0,2.0,0.0,1.0,0.0,0.0,3.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,-1.0,1.0,-3.0,2.0,0.0,1.0,-1.0,1.0,-3.0,2.0,-3.0,0.0,-3.0,-1.0,-3.0
146,test147,0,1,1,2,-1,2,-2,2,-2,2,-1,3,0,0,2,1,-1,2,3,1,3,1,-2,1,-1,1,0,0,0,-3,1,-1,4,-1,3,-2,2,-2,1,0,0,-2,2,-1,0,-1,0,-1,1,-1,1,-1,-3,0,-4,2,0,0,-3,2,2,3,-2,2,-2,3,-4,1,0,1,-5,2,-5,2,2,2,2,2,3,0,1,0,0,-1,0,-1,0,-1,1,-2,1,-1,2,-1,0,-3,7,-2,7,-3,-3,-1,-2,-2,-2,-1,-2,1,2,3,-2,4,2,5,0,1,0,-1,-1,-2,0,1,-3,-3,-4,-3,0,-2,-1,-2,3,2,2,-2,-2,0,-2,-1,-5,-4,-2,0,-1,1,2,-1,-2,-2,7,2,6,2,-2,1,-2,2,-3,0,0,-1,1,-2,3,-1,2,3,2,-1,1,-1,0,1,2,2,-2,1,0,1,-2,3,-1,2,0,-2,2,2,-1,2,-1,2,0,0,0,1,-1,1,0,1,1,1,-2,0,-3,1,1,-1,1,0,3,0,-4,0,-5,-2,0,-3,-1,-3,-2,1,-1,0,-3,1,-3,0,1,5,1,4,1,3,0,2,-1.0,1.0,5.0,-2.0,4.0,0.0,1.0,0.0,-2.0,-2.0,1.0,-2.0,1.0,-2.0,4.0,-2.0,1.0,-3.0,4.0,-4.0,4.0,-4.0,-1.0,-2.0,-1.0,-2.0,-2.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,1.0,-3.0,2.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,-2.0,0.0,-2.0,0.0
147,test148,-2,-2,2,-1,0,3,1,3,-3,0,0,2,-1,1,1,1,-1,2,-1,0,-2,0,-2,0,-1,0,4,7,0,1,2,1,0,-1,4,1,1,1,1,2,1,2,2,0,0,4,0,3,3,2,2,3,-7,-8,-2,0,-3,-1,-2,1,-2,0,-3,-1,-3,-1,-3,-2,-2,-1,-3,-2,-2,-2,-3,-2,-3,-3,4,3,4,-1,1,0,0,-1,-3,-2,1,1,1,0,5,1,-1,0,7,3,6,2,-1,2,-1,2,4,7,0,-1,2,0,2,0,2,-1,1,0,1,1,-1,-1,2,1,-8,-2,-8,0,7,-1,7,0,-5,-8,-3,0,-1,0,-3,0,-1,1,-1,-1,-1,-1,-2,-1,-2,-2,4,-1,4,-2,-8,0,-7,-1,3,0,3,-1,2,-1,3,-1,3,-2,3,0,3,1,3,0,3,1,-2,0,-1,1,7,-1,6,0,3,5,-2,3,-2,1,-2,2,-1,1,-2,2,-1,2,-2,2,-2,1,7,6,6,5,-7,4,-7,3,0,-6,-4,0,-2,-3,-1,-4,-1,-2,-2,-4,-1,-4,-3,-2,-2,-3,-2,-4,-2,-5,2,-4,3,-5,-3.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,-1.0,2.0,0.0,3.0,-1.0,1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,2.0,-1.0,1.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,-2.0,2.0,0.0,-2.0,0.0,3.0,-1.0,3.0,-1.0,1.0,-1.0,1.0,-1.0
148,test149,-3,1,-2,0,-1,0,-3,0,-2,2,-1,1,-1,0,-1,0,-2,1,-3,-1,-3,0,-4,0,-3,1,2,-1,2,0,1,0,1,-1,0,-2,0,-1,1,-1,1,-1,0,-1,5,1,4,0,0,0,-1,-1,1,2,-3,-1,0,-2,2,-2,2,0,1,-1,0,3,0,0,1,-1,1,-3,1,-4,1,-3,1,-4,-1,-1,2,-2,1,1,-2,2,-3,-1,0,0,-1,-2,0,-2,-2,-1,3,5,2,5,-5,3,-5,4,4,-1,0,-2,1,-4,0,-5,4,-3,0,-4,1,-1,1,-2,2,-4,0,-5,1,-6,4,-6,5,-7,-5,1,1,3,0,4,2,3,1,1,0,5,-1,3,0,3,1,5,-2,6,-3,7,0,7,-1,8,6,0,2,1,1,3,-3,5,-7,3,1,3,3,4,3,0,-3,0,8,-1,9,-1,-5,0,-5,-1,-3,0,-3,0,-3,-1,1,-2,1,-2,-2,-1,-3,-3,-4,2,0,3,-10,-1,-11,0,8,1,9,3,0,0,1,-2,-1,-2,1,-2,0,-3,1,-2,2,-2,1,-1,1,-3,1,1,3,0,-3,-1,-3,-1,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,-1.0,2.0,0.0,2.0
149,test150,-2,0,-1,0,0,2,0,2,0,1,0,1,-1,1,-1,1,0,1,0,1,0,1,0,1,-1,1,2,0,-1,0,0,-2,-1,-2,1,-1,0,-1,0,0,0,-1,0,0,1,1,1,0,0,1,1,1,-2,1,1,-1,-1,1,2,0,-2,0,0,1,0,-1,1,0,0,0,2,-1,1,-1,-2,-1,-2,-2,3,-1,3,0,2,0,3,-1,3,-2,2,1,2,2,1,1,2,0,0,2,0,2,3,2,3,2,1,1,-4,-3,-4,-2,3,-3,2,-2,0,0,1,3,-2,0,0,2,-1,-1,-1,1,4,0,4,1,-2,0,-2,0,-2,2,0,0,-1,1,-1,0,-1,-1,-1,0,0,0,-2,0,-2,-1,-2,-1,-2,-1,-1,0,0,4,2,3,-2,4,1,1,0,1,-1,-1,0,1,-1,0,-4,-5,-3,-4,2,-4,2,-3,0,0,2,-1,1,-1,-2,-2,-2,-1,0,-1,0,-1,1,-1,-1,-2,1,0,1,0,-1,1,-1,1,0,1,-3,-1,-2,-2,2,-1,2,-3,0,-1,0,1,-2,-4,1,-2,-3,-4,-3,-4,2,-7,2,-7,1.0,0.0,-1.0,2.0,2.0,1.0,0.0,1.0,5.0,2.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,2.0,0.0,4.0,0.0,4.0,2.0,3.0,2.0,3.0,-3.0,-1.0,4.0,-1.0,1.0,2.0,-2.0,1.0,-2.0,2.0,0.0,-2.0,-3.0,-3.0,3.0,-3.0,-2.0,-3.0,4.0,1.0,2.0,1.0,-6.0,7.0,-7.0,6.0
150,test151,1,-1,-1,-1,1,0,0,-1,1,0,1,0,1,0,1,0,0,0,1,-1,0,-1,1,0,2,0,-1,0,0,0,0,0,-2,1,-3,1,-1,0,-1,-1,-2,0,-2,0,-1,-2,-1,-1,-2,-1,-2,-1,3,0,0,0,-1,-1,4,-1,4,-1,2,1,2,2,2,0,3,1,4,3,4,2,3,2,3,1,0,-1,1,-5,-2,-2,-2,-3,-2,-3,-1,-3,-1,-2,-1,-3,-2,-4,-2,-3,-2,-3,-1,-3,-1,-3,-1,1,-3,2,-1,5,1,3,3,-2,-1,2,0,2,0,1,0,2,-5,0,-4,1,4,0,3,1,0,0,-5,-3,-2,1,-2,1,2,-2,-1,-1,-2,-1,-3,-2,0,-3,4,0,2,-1,-4,-1,-3,-2,2,1,0,2,4,2,3,0,5,2,3,3,3,3,0,2,3,3,-3,5,-2,5,4,7,4,7,2,0,1,-2,-1,-2,-1,0,-2,-3,-1,-4,0,-3,-1,-2,0,-3,6,2,6,2,-1,1,-2,1,-4,-1,1,1,-3,0,-3,-1,-8,1,-3,1,-4,-4,3,-1,-5,0,1,-4,1,-5,-9,-4,-8,-4,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,0.0,4.0,0.0,3.0,2.0,3.0,1.0,3.0,-1.0,3.0,-1.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,-2.0,2.0,-1.0,-2.0,0.0,-2.0,0.0,2.0,0.0,2.0,0.0
151,test152,-1,0,0,1,0,1,-1,1,-1,0,0,1,-1,0,1,1,-2,1,1,2,2,0,-2,1,-2,1,0,1,-1,0,1,0,0,-1,1,-1,0,-1,0,0,0,0,1,-1,-2,0,-2,1,1,0,0,0,-1,1,1,0,2,-1,-1,0,1,1,0,-1,1,-1,1,-2,0,-2,-1,-2,-1,-2,0,-1,0,-1,1,0,-5,1,-2,2,-2,2,1,2,-1,2,-2,4,-4,3,-1,4,0,2,0,2,-1,2,0,2,0,-2,6,-3,-2,0,-1,0,-10,-4,-2,0,-2,-4,5,-2,-3,-3,1,-3,0,-4,-5,-5,-5,-5,0,0,-5,-2,0,-4,0,-5,10,-2,0,-3,0,2,-4,-3,2,-2,3,2,3,1,2,3,1,2,3,8,3,-2,2,1,1,1,-3,-3,1,0,1,-1,4,0,0,-1,4,1,4,2,-1,2,0,3,-5,-8,1,4,1,2,-1,3,-2,5,-1,1,0,0,0,0,-1,1,0,-5,0,-4,-3,-6,-4,-6,1,-1,-1,-3,-3,-2,2,-3,-1,-3,0,-1,1,0,-2,0,0,0,-5,3,-5,2,2,2,3,2,0.0,9.0,-1.0,1.0,-1.0,0.0,-3.0,2.0,0.0,0.0,-1.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,1.0,-2.0,2.0,3.0,3.0,2.0,3.0,0.0,-8.0,2.0,0.0,1.0,0.0,3.0,0.0,-2.0,1.0,2.0,-2.0,1.0,-3.0,1.0,-2.0,1.0,0.0,3.0,-4.0,3.0,-4.0,-1.0,-3.0,0.0,-3.0
